
0.0.0.0 ! --------------------------------------------------------------------------------------
0.0.0.0 0.0.0.0
0.0.0.0 0-0-0-0-0-0-0-0-0-0-0-0-0-15-0-0-0-0-0-0-0-0-0-0-0-0-0.info
0.0.0.0 0-0-0-0-0-0-0-0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0-0.info
0.0.0.0 0-0-0-0-0-0-0-0-0-0-0-0-0-23-0-0-0-0-0-0-0-0-0-0-0-0-0.info
0.0.0.0 0-0-0-0-0-0-0-0-0-0-0-0-0-33-0-0-0-0-0-0-0-0-0-0-0-0-0.info
0.0.0.0 00000000000.888.ru
0.0.0.0	000000-0.000webhostapp.com
0.0.0.0	0000000000-windows-block-notification.online
0.0.0.0	00000000080000000000000008000000000000000.com
0.0.0.0 000000000jhkjkjhkjhkjh.nl.ai
0.0.0.0 0000002.in
0.0.0.0 0000003.in
0.0.0.0 0000004.in
0.0.0.0 0000005.in
0.0.0.0 0000006.in
0.0.0.0 0000007.in
0.0.0.0 0000008.in
0.0.0.0 0000009.in
0.0.0.0 0-0-0-0-0-0proxy.tserv.se
0.0.0.0 000007.ru
0.0.0.0	000007.ru
0.0.0.0	00000.support
0.0.0.0	00001alertx.info
0.0.0.0 00002009.zapto.org
0.0.0.0 00002010.ath.cx
0.0.0.0	00002alertx.info
0.0.0.0	00002alertz.info
0.0.0.0	00004563.000webhostapp.com
0.0.0.0 00005ik.rcomhost.com
0.0.0.0	00005ik.rcomhost.com
0.0.0.0	0000663c.tslocosumo.us
0.0.0.0	0000a-fast-proxy.de
0.0.0.0 0000love.net
0.0.0.0 0000mps.webpreview.dsl.net
0.0.0.0	0000pv6.rxportalhosting.com
0.0.0.0	0000.support
0.0.0.0	0000wwchrome.ru
0.0.0.0	000-101.org
0.0.0.0 0001.2waky.com
0.0.0.0 000143owaweboutlookappweb.myfreesites.net
0.0.0.0 0001ewm.rcomhost.com
0.0.0.0 0001kkz.rcomhost.com
0.0.0.0 0001mj9.rcomhost.com
0.0.0.0 0001proxy.notlong.com
0.0.0.0	0002393684.newaidpurchase.ru
0.0.0.0 0002fui.rcomhost.com
0.0.0.0 0002me1.rcomhost.com
0.0.0.0 0002yr2.wcomhost.com
0.0.0.0	000300.000webhostapp.com
0.0.0.0	0003590776.newaidpurchase.ru
0.0.0.0	00035.accountant
0.0.0.0	00037.accountant
0.0.0.0	00038.accountant
0.0.0.0	00039.accountant
0.0.0.0	00041.accountant
0.0.0.0	00042.accountant
0.0.0.0	00043.accountant
0.0.0.0	00045.accountant
0.0.0.0	00046.accountant
0.0.0.0	00047.accountant
0.0.0.0	00048.accountant
0.0.0.0	0004alertx.info
0.0.0.0	0005083928.newaidpurchase.ru
0.0.0.0	000612.genericbestinc.ru
0.0.0.0	00063.accountant
0.0.0.0	00065.accountant
0.0.0.0	00066.accountant
0.0.0.0	00067.accountant
0.0.0.0	00068.accountant
0.0.0.0	00068.web-option-binary.com
0.0.0.0 0-0-0.6te.net
0.0.0.0 0006uwjftw0ag.com
0.0.0.0	00070.accountant
0.0.0.0	00071.accountant
0.0.0.0	00080.web-option-binary.com
0.0.0.0	00086.web-option-binary.com
0.0.0.0	000am9r.rxportalhosting.com
0.0.0.0 000.angryshark.cn
0.0.0.0	000antispyware000.com
0.0.0.0	000apple000.com
0.0.0.0 000aproxy.on-4.com
0.0.0.0 000.bbexe.cn
0.0.0.0 000cas.info
0.0.0.0 000cc.com
0.0.0.0	0-0-----------------------------------------------------------0.com
0.0.0.0 000dfcc96tkpc.com
0.0.0.0 000dom.revenuedirect.com
0.0.0.0	000egjj.wcomhost.com
0.0.0.0 000free.us
0.0.0.0 000gbf1.wcomhost.com
0.0.0.0	000gpzz.wcomhost.com
0.0.0.0 000h2x147.com
0.0.0.0	000hejn.wcomhost.com
0.0.0.0 000hhjq.rxportalhosting.com
0.0.0.0	000hhjq.rxportalhosting.com
0.0.0.0 000info.com
0.0.0.0	000my001.eu
0.0.0.0	000my002.eu
0.0.0.0 000owamail0.000webhostapp.com
0.0.0.0 000qzyount2fv.com
0.0.0.0 000-search.net
0.0.0.0 000site.ru
0.0.0.0 000space.com
0.0.0.0	000spyware000.com
0.0.0.0	000support000.com
0.0.0.0 000sylt0u81ml.com
0.0.0.0 000.ueuo.com
0.0.0.0 000webhost.info
0.0.0.0 000webseucadastro.vai.la
0.0.0.0	000windows000.com
0.0.0.0	000xxx000errorhard-drive.info
0.0.0.0	000xxx000errorhard-drive.online
0.0.0.0	000xxx000errorhard-drive.xyz
0.0.0.0 00101.net
0.0.0.0 0010v8di5.com
0.0.0.0 001100110011.com
0.0.0.0 00123sxw.com
0.0.0.0 0013755g.com
0.0.0.0 0013.uepon30.com
0.0.0.0	0014175572.newaidpurchase.ru
0.0.0.0	00141.web-option-binary.com
0.0.0.0 00149.com
0.0.0.0 00151b2e.com
0.0.0.0 0015j614.com
0.0.0.0 0015ymbb.com
0.0.0.0 0016wo3p7.com
0.0.0.0	0019209939400009901100.win
0.0.0.0	001alertfound.info
0.0.0.0 001b4cbj.com
0.0.0.0 001.bbexe.cn
0.0.0.0	001.bbexe.cn
0.0.0.0 001.bladespoon.cn
0.0.0.0	001.bladespoon.cn
0.0.0.0	001.craigslist.org-prv.xyz
0.0.0.0 001ct8ao9.com
0.0.0.0 001dt9mq.com
0.0.0.0 001e2e4.info
0.0.0.0	001e2e4.info
0.0.0.0	001games.com
0.0.0.0 001gs6b9.com
0.0.0.0 001.hitgraph.jp
0.0.0.0	001host.net
0.0.0.0 001husiaxajiji.biz
0.0.0.0 001jijoppudkaso.net
0.0.0.0	001kanpou.com
0.0.0.0 001linker.net
0.0.0.0 001mailer.com
0.0.0.0 001mailer.com.br
0.0.0.0 001mgm.com
0.0.0.0 001p88m8a.com
0.0.0.0 001pb9k8.com
0.0.0.0 001print.com
0.0.0.0 001proxy.com
0.0.0.0 001.sky88.cn
0.0.0.0 001soft.cn
0.0.0.0	001soft.cn
0.0.0.0 001tngrdg.com
0.0.0.0 001.vwoool.com
0.0.0.0 001web.net
0.0.0.0 001webs.com
0.0.0.0 001wen.com
0.0.0.0 001y.com
0.0.0.0	001y.com
0.0.0.0 001yhrix.com
0.0.0.0 001yl.com
0.0.0.0	0022654462.newaidpurchase.ru
0.0.0.0	00228.web-option-binary.com
0.0.0.0	0023468196.newaidpurchase.ru
0.0.0.0	0027258445.newaidpurchase.ru
0.0.0.0	0027usl835.com
0.0.0.0 0029lbjf.com
0.0.0.0 002gvszf.com
0.0.0.0 002.hitgraph.jp
0.0.0.0 002it.com
0.0.0.0 002uh.com
0.0.0.0	002z2q0ezy.centade.com
0.0.0.0	0032326492.newaidpurchase.ru
0.0.0.0	00323.web-option-binary.com
0.0.0.0 0033855.com
0.0.0.0 003485883.com
0.0.0.0	00368.web-option-binary.com
0.0.0.0 003793.parkingcrew.net
0.0.0.0 00398d0.netsolhost.com
0.0.0.0 003a4bgr.com
0.0.0.0 003bbhq9.com
0.0.0.0	003ceazzcukijtfy.tk
0.0.0.0 003f741.netsolhost.com
0.0.0.0 003mgm.com
0.0.0.0	003-pc.ru
0.0.0.0 003t1m7o.com
0.0.0.0 003.ua
0.0.0.0 004.004xxx.info
0.0.0.0 004166gp.com
0.0.0.0	004447d401c7bcd02db6fdd64d7be290.co.cc
